title,pkg.filename,pkg.source,app.type,tags,app.title.full,app.title.short,app.credits,review.rating,text,review.status,pkg.version,review.summary,test.hw.model,test.hw.type,test.os.family,test.os.version
"com.bytra.blotsgame","com.bytra.blotsgame","com.android.vending","game","videogame" "boardgame conversion","Blots","Blots","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.camelgames.fantasyland","com.camelgames.fantasyland","com.android.vending","game","videogame","Little Empire","Little Empire","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.camelgames.hyperjumplite","com.camelgames.hyperjumplite","com.android.vending","game","videogame","Hyper Jump (Lite)","Hyper Jump (Lite)","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.captaingames.oregon_humble","com.captaingames.oregon_humble","humblebundle","game","videogame","So Long, Oregon!","So Long, Oregon!","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.capybaragames.sworcery.humble","com.capybaragames.sworcery.humble","humblebundle","game","videogame" "adventure","Superbrothers Sword & Sworcery","Superbrothers Sword & Sworcery","Capybara Games","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cardgame.CrazyMahjong","com.cardgame.CrazyMahjong","com.android.vending","game","videogame","CrazyMahjong","CrazyMahjong","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.ccr","com.ccr","humblebundle","game","videogame" "puzzle","ChuChu Rocket","ChuChu Rocket","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.chessclock.android","com.chessclock.android","fdroid","non-game","non-game software","Simple Chess Clock","Simple Chess Clock","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.chillingo.contrejour.android.humblebundle","com.chillingo.contrejour.android.humblebundle","humblebundle","game","videogame","Contre Jour","Contre Jour","Chillingo","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.choiceofgames.vampire","com.choiceofgames.vampire","com.android.vending","game","videogame","Choice of the Vampire","Choice of the Vampire","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.choiceofgames.yeti","com.choiceofgames.yeti","com.android.vending","game","videogame","Yeti's Parole Officer","Yeti's Parole Officer","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.chordbot.demo.gui","com.chordbot.demo.gui","com.android.vending","non-game","non-game software","Chordbot Lite","Chordbot Lite","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cih.game_cih","com.cih.game_cih","web=http://www.cih.com.tw/gamecih.html","non-game","non-game software","GameCIH","GameCIH","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cipherprime.fractal.humble","com.cipherprime.fractal.humble","humblebundle","game","videogame" "puzzle","Fractal","Fractal","Cipher Prime Studios","5","Un puzzler original, agréable et bien réalisé. La concision extrême du "manuel" est compensée par une difficulté très progressive.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cipherprime.pulse.humble","com.cipherprime.pulse.humble","humblebundle","game","videogame" "music-driven" "reflex","Pulse","Pulse","Cipher Prime Studios","5","Touch-screen arcade at its best! Innovant, frais, fun, chouette BO… !!","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cipherprime.splice.humble","com.cipherprime.splice.humble","humblebundle","game","videogame" "puzzle","Splice","Splice","Cipher Prime Studios","5","Un puzzler original, agréable et bien réalisé. La concision extrême du "manuel" est compensée par une difficulté très progressive. Très léger bémol sur l'apparence graphique.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.citta.android.kee4a","com.citta.android.kee4a","com.android.vending","non-game","non-game software","Kee4 Keyboard","Kee4 Keyboard","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cityjams.conversions.unitconverter","com.cityjams.conversions.unitconverter","com.android.vending","non-game","non-game software" "util" "unit converter","gUnit Lite","gUnit Lite","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.clapfootgames.tankhero","com.clapfootgames.tankhero","com.android.vending","game","videogame" "arena combat" "tank","Tank Hero","Tank Hero","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cleanmaster.mguard","com.cleanmaster.mguard","com.android.vending","non-game","non-game software" "system optimizer","Clean Master","Clean Master","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cleanmaster.security","com.cleanmaster.security","com.android.vending","non-game","non-game software" "security","CM Security","CM Security","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cleanmaster.security.heartbleed","com.cleanmaster.security.heartbleed","com.android.vending","non-game","non-game software" "security","Heartbleed Scanner","Heartbleed Scanner","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cn.asus.vibe","com.cn.asus.vibe","Asus","non-game","non-game software","@vibe Fun Center","@vibe Fun Center","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.coheso.carbscontrol","com.coheso.carbscontrol","com.amazon.venezia","non-game","non-game software","CarbsControl","CarbsControl","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.coldbeamgames.beathazardultrahumblefull","com.coldbeamgames.beathazardultrahumblefull","humblebundle","game","videogame" "shoot'em'up" "asteroids-like","Beat Hazard Ultra","Beat Hazard Ultra","Cold Beam Games Ltd","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.com2us.monkeybattle.normal.freefull.google.global.android.common","com.com2us.monkeybattle.normal.freefull.google.global.android.common","com.android.vending","game","videogame","Swing Shot","Swing Shot","Come2uS","1","Ne fonctionne pas sur l'Asus Transformer Prime. ","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.com2us.sliceit","com.com2us.sliceit","com.android.vending","game","videogame" "puzzle","Slice It!","Slice It!","Come2uS","4","Original, fun and cute little puzzler. with many levels!","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.com2us.smon.normal.freefull.google.kr.android.common","com.com2us.smon.normal.freefull.google.kr.android.common","com.android.vending","game","videogame","Summoners War","Summoners War","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.companyname.MageandMagic","com.companyname.MageandMagic","com.android.vending","game","videogame","MageVsMage","MageVsMage","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cootek.smartinputv5","com.cootek.smartinputv5","com.android.vending","non-game","non-game software","TouchPal X","TouchPal X","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.corytrese.games.startraders","com.corytrese.games.startraders","com.android.vending","game","videogame","Star Traders RPG","Star Traders RPG","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.cracksmith.pazaak","com.cracksmith.pazaak","com.android.vending","game","videogame" "cardgame","Pazaak","Pazaak","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.crankshaftgames.sfp","com.crankshaftgames.sfp","com.amazon.venezia","game","videogame","BAMF!","BAMF!","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.crawlmb","com.crawlmb","com.android.vending","game","videogame" "roguelike","Dungeon Crawl: Stone Soup for Android","Dungeon Crawl: Stone Soup for Android","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.creativem.geneticsfull","com.creativem.geneticsfull","com.android.vending","game","videogame","Alchemy~Genetics","Alchemy~Genetics","Creative Mobile","1","Alchemy, sans la logique. Si vous aimez chercher et chercher encore des combinaisons farfelues, pourquoi pas. Sinon passez votre chemin.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.creatstudio.mushroomwars","com.creatstudio.mushroomwars","com.android.vending","game","videogame","Mushroom Wars","Mushroom Wars","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.crenetic.pumpkin","com.crenetic.pumpkin","com.amazon.venezia","game","videogame","Jack _ The Creepy Castle","Jack _ The Creepy Castle","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.crescentmoongames.aralonhumble","com.crescentmoongames.aralonhumble","humblebundle","game","videogame","Aralon HD","Aralon HD","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.crescentmoongames.blocky_roads","com.crescentmoongames.blocky_roads","humblebundle","game","videogame","Blocky Roads","Blocky Roads","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.crescentmoongames.exilesAlpha.humble","com.crescentmoongames.exilesAlpha.humble","humblebundle","game","videogame","Exiles","Exiles","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
